--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2023-08-09

Go version: go1.21.0

CPU:
- arch: amd64
- physical cores: 8
- logical cores: 8

CPU features:
- AVX: true
- AVX2: true
- AVX512: false
- SSE: true
- SSE2: true
- AES: true
- SHA1: false
- SHA2: false
- SHA512: false
- CRC32: false
- ATOMICS: false

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/hashing
cpu: AMD EPYC 7543 32-Core Processor
BenchmarkEncrypt/64B-ChaCha20_Poly1305-8          	 1681360	       717.8 ns/op	  89.16 MB/s	     704 B/op	       1 allocs/op
BenchmarkEncrypt/64B-AES_128_GCM-8                	 2017689	       584.7 ns/op	 109.46 MB/s	     704 B/op	       1 allocs/op
BenchmarkEncrypt/64B-AES_256_GCM-8                	 1925928	       639.0 ns/op	 100.16 MB/s	     704 B/op	       1 allocs/op
BenchmarkEncrypt/1KiB-XChaCha20_Poly1305-8        	  456217	      2554 ns/op	 400.88 MB/s	    2688 B/op	       1 allocs/op
BenchmarkEncrypt/1KiB-ChaCha20_Poly1305-8         	  517302	      2267 ns/op	 451.73 MB/s	    2688 B/op	       1 allocs/op
BenchmarkEncrypt/1KiB-AES_128_GCM-8               	  672439	      1712 ns/op	 598.14 MB/s	    2688 B/op	       1 allocs/op
BenchmarkEncrypt/1KiB-AES_256_GCM-8               	  647299	      1795 ns/op	 570.41 MB/s	    2688 B/op	       1 allocs/op
BenchmarkEncrypt/16KiB-XChaCha20_Poly1305-8       	   51766	     23683 ns/op	 691.80 MB/s	   40960 B/op	       1 allocs/op
BenchmarkEncrypt/16KiB-ChaCha20_Poly1305-8        	   52039	     23368 ns/op	 701.14 MB/s	   40960 B/op	       1 allocs/op
BenchmarkEncrypt/16KiB-AES_128_GCM-8              	   67368	     17818 ns/op	 919.50 MB/s	   40960 B/op	       1 allocs/op
BenchmarkEncrypt/16KiB-AES_256_GCM-8              	   63684	     19077 ns/op	 858.85 MB/s	   40960 B/op	       1 allocs/op
BenchmarkEncrypt/64KiB-XChaCha20_Poly1305-8       	   15415	     77673 ns/op	 843.74 MB/s	  139265 B/op	       1 allocs/op
BenchmarkEncrypt/64KiB-ChaCha20_Poly1305-8        	   15648	     76016 ns/op	 862.13 MB/s	  139264 B/op	       1 allocs/op
BenchmarkEncrypt/64KiB-AES_128_GCM-8              	   19671	     59594 ns/op	1099.71 MB/s	  139265 B/op	       1 allocs/op
BenchmarkEncrypt/64KiB-AES_256_GCM-8              	   18962	     62757 ns/op	1044.28 MB/s	  139265 B/op	       1 allocs/op
BenchmarkEncrypt/1MiB-XChaCha20_Poly1305-8        	     646	   1723733 ns/op	 608.32 MB/s	 2105356 B/op	       1 allocs/op
BenchmarkEncrypt/1MiB-ChaCha20_Poly1305-8         	     604	   1708351 ns/op	 613.79 MB/s	 2105355 B/op	       1 allocs/op
BenchmarkEncrypt/1MiB-AES_128_GCM-8               	     824	   1502191 ns/op	 698.03 MB/s	 2105354 B/op	       1 allocs/op
BenchmarkEncrypt/1MiB-AES_256_GCM-8               	     799	   1413466 ns/op	 741.85 MB/s	 2105356 B/op	       1 allocs/op
BenchmarkEncrypt/10MiB-XChaCha20_Poly1305-8       	     100	  10530197 ns/op	 995.78 MB/s	20979724 B/op	       1 allocs/op
BenchmarkEncrypt/10MiB-ChaCha20_Poly1305-8        	     114	  10959116 ns/op	 956.81 MB/s	20979727 B/op	       1 allocs/op
BenchmarkEncrypt/10MiB-AES_128_GCM-8              	     135	   7999166 ns/op	1310.86 MB/s	20979718 B/op	       1 allocs/op
BenchmarkEncrypt/10MiB-AES_256_GCM-8              	     156	   7537866 ns/op	1391.08 MB/s	20979715 B/op	       1 allocs/op
BenchmarkEncrypt/1GiB-XChaCha20_Poly1305-8        	       2	 646055306 ns/op	1662.00 MB/s	2147491840 B/op	       1 allocs/op
BenchmarkEncrypt/1GiB-ChaCha20_Poly1305-8         	       2	 652155576 ns/op	1646.45 MB/s	2147491840 B/op	       1 allocs/op
BenchmarkEncrypt/1GiB-AES_128_GCM-8               	       2	 529401474 ns/op	2028.22 MB/s	2147491888 B/op	       1 allocs/op
BenchmarkEncrypt/1GiB-AES_256_GCM-8               	       2	 559966310 ns/op	1917.51 MB/s	2147491840 B/op	       1 allocs/op
BenchmarkDecrypt/64B-XChaCha20_Poly1305-8         	 1477496	       799.8 ns/op	  80.02 MB/s	     128 B/op	       1 allocs/op
BenchmarkDecrypt/64B-ChaCha20_Poly1305-8          	 2165425	       544.2 ns/op	 117.60 MB/s	     128 B/op	       1 allocs/op
BenchmarkDecrypt/64B-AES_128_GCM-8                	 3272454	       383.7 ns/op	 166.78 MB/s	     128 B/op	       1 allocs/op
